index,total_counts,soft_counts,soft_frac,sigma_eff_marginal,sigma_eff_conditional,absorbed_fraction_I,bnorm2,R_residual_power,sigma_post_pred,shrink_pred,min_prior_edge_margin,kT_ceiling_margin_frac_range,kT_ceiling_margin_frac_value,rank_deficient,already_run_ns,theta_tbabs_1_nh,theta_powerlaw_1_alpha,theta_powerlaw_1_norm,theta_blackbodyrad_1_kT,theta_blackbodyrad_1_norm
39,2802,436,0.1556,0.17501225031520137,0.025351203218717693,0.9790173539239841,1555.9758306932918,32.648490158272104,0.028482648868360987,0.9866678994829075,0.07959076355379097,0.11276649085208212,0.10148984176687392,False,False,0.3340818472892418,1.6116286244660292,0.0031763673309304808,2.6955304746993782,0.1802876485646885
40,343,162,0.4723,0.24619096686841166,0.056373540412051226,0.9475667964153305,314.66568078676426,16.498929701801043,0.028671085406082628,0.9931955326296324,0.10254187917747316,0.8974581208225267,0.8077123087402741,False,False,0.29389368245746234,2.6881291536698475,0.0009830049640796304,0.5768630737791776,0.43401611270189855
41,116,30,0.25862,1.0155987487203135,0.1397179430213802,0.9810739469935227,51.22661199805889,0.9695175740175095,0.02885585903697854,0.9995962789618463,0.039479387360148555,0.9370474680260975,0.8433427212234879,False,False,0.1896786451100067,1.078958774720297,0.00015305612152168778,0.46997183632953643,0.3843748390326023
42,1386,160,0.11544,0.43486419669330995,0.023219092764680194,0.9971490920977492,1854.8530424947146,5.288015196362201,0.02880411796797077,0.9978039157546587,0.004622184753389047,0.6665673796158744,0.599910641654287,False,False,0.24218656635168104,1.009244369506778,0.0005056738221372064,1.200268075037139,0.9376239694293127
43,2454,179,0.07294,0.5280420522504506,0.019511535792510196,0.9986346440435426,2626.740015420943,3.5864351261199094,0.02882447180418909,0.99850899332384,0.00742779117627851,0.14364822089335808,0.1292833988040223,False,False,0.1514855582352557,2.213277191672727,0.00041949210264740277,2.612149803587933,0.29961897105340807
44,1872,314,0.16774,0.22698704832424707,0.02965204052276188,0.9829349716139407,1137.3413529387944,19.40876247253959,0.02863685656654155,0.992009810846247,0.21263681320246564,0.4963075773254669,0.4466768195929202,False,False,0.30031626891427554,1.5835162562911729,0.0019366939216324318,1.6599695412212394,0.37560068323374146
45,3521,1310,0.37205,0.09732170421756657,0.032329651823066345,0.889647381119639,956.7488416039819,105.57974028175106,0.027675679903387037,0.9587136745335845,0.05026108140855326,0.4184138445997909,0.3765724601398119,False,False,0.2790249358383281,2.3078189723551406,0.00793373768474547,1.8702826195805644,0.26257327600628194
46,1390,830,0.59712,0.1393655196500561,0.02567763238043358,0.9660531659897433,1516.6663323811,51.48602023428596,0.02826747382301235,0.979214017261612,0.016993346631856924,0.983006653368143,0.8847059880313287,False,False,0.2020162099872446,2.6765862525583954,0.004206866444613493,0.3458820359060137,0.22969802317244278
47,1756,927,0.5279,0.14817860897555385,0.027978207410110412,0.9643492440074496,1277.4980009382539,45.543769512420624,0.02833482294243122,0.981547059195182,0.10983616954899231,0.5317776404534376,0.47859987640809387,False,False,0.17822447439309963,2.400869119319987,0.004684630003870807,1.5642003707757184,0.01658335275918918
48,2085,963,0.46187,0.12371984822879788,0.02833086779402934,0.9475626183728916,1245.8915636114616,65.33129138708904,0.028112396912980127,0.97384199551648,0.10925392327633528,0.6094054400713994,0.5484648960642595,False,False,0.2363308095124056,2.1474624969864307,0.005861858473758246,1.3546053118072214,0.01653894666003802
